row_no,name,trade,qty,rate,amount,advance,total,_source_file,_folder,_project
Month: June 2018,,,,,,,,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
1,Usman Khan,Supervisor,25,1800.0,45000.0,22500.0,22500.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
2,Arif Ali,Supervisor,27,1800.0,48600.0,14580.0,34020.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
3,Rizwan Malik,Carpenter,28,1000.0,28000.0,0.0,28000.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
4,Bilal Raza,Plumber,20,1100.0,22000.0,0.0,22000.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
5,Usman Khan,Site Engineer,27,2500.0,67500.0,0.0,67500.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
6,Farooq Ali,Plumber,28,1100.0,30800.0,9240.0,21560.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
7,Arif Chaudhry,Supervisor,14,1800.0,25200.0,0.0,25200.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
8,Zahid Qureshi,Plumber,25,1100.0,27500.0,0.0,27500.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
9,Muhammad Butt,Helper,27,600.0,16200.0,0.0,16200.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
10,Farooq Raza,Painter,15,850.0,12750.0,6375.0,6375.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
11,Muhammad Sheikh,Helper,19,,11400.0,0.0,11400.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
12,Farooq Ali,Helper,16,600.0,9600.0,,9600.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
13,Kamran Khan,Painter,27,850.0,22950.0,6885.0,16065.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
14,Hamid Raza,Security Guard,25,700.0,17500.0,0.0,17500.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
,,,,,,,,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
Prepared by:,,,Checked by:,,,,,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS
