row_no,name,trade,qty,rate,total,deductions,net,_source_file,_folder,_project
Month: August 2006,,,,,,,,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
1,Bilal Raza,Mason,28,900.0,25200.0,0,25200,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
2,Arif Butt,Carpenter,17,1000.0,,8500,"8,500/-",labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
3,Usman Qureshi,Security Guard,28,,19600.0,0,19600,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
4,Nasir Qureshi,Security Guard,18,700.0,12600.0,3780,8820,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
5,Sajid Butt,Carpenter,25,1000.0,25000.0,0,25000,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
,,,,,,,Sub-total,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
6,Muhammad Qureshi,Site Engineer,20,,50000.0,0,TBD,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
7,Muhammad Raza,Security Guard,TBD,700.0,,0,18900,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
8,Usman Raza,Security Guard,15/-,700.0,10500.0,0/-,"PKR 10,500",labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
9,Rizwan Ali,Mason,14,900.0,12600.0,0,"12,600/-",labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
10,Ahmad Qureshi,Security Guard,22,700.0,15400.0,0,15400,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
11,Kamran Chaudhry,Painter,24,850.0,20400.0,6120,14280,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
12,Javed Qureshi,Electrician,14,1200.0,16800.0,8400,8400,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
13,Arif Raza,Site Engineer,PKR 20,2500.0,50000.0,0,50000,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
14,Farooq Sheikh,Supervisor,17,1800.0,30600.0,15300,15300,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
15,Rizwan Ali,Welder,TBD,1100.0,19800.0,9900,9900,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
,,,,,,,,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
Prepared by:,,,Checked by:,,,Approved:,,labour_wages\SATTI_MALL_Labour_Aug2006.xlsx,labour_wages,SATTI_MALL
