row_no,name,trade,qty,rate,total,deductions,net,_source_file,_folder,_project
Month: January 2013,,,,,,,,labour_wages\SATTI_PLAZA_Labour_Jan2013.xlsx,labour_wages,SATTI_PLAZA
1,Arif Khan,Site Engineer,17,2500.0,42500.0,0,42500,labour_wages\SATTI_PLAZA_Labour_Jan2013.xlsx,labour_wages,SATTI_PLAZA
2,Asif Sheikh,Painter,20,850.0,17000.0,0,17000,labour_wages\SATTI_PLAZA_Labour_Jan2013.xlsx,labour_wages,SATTI_PLAZA
3,Nasir Qureshi,Supervisor,14,1800.0,25200.0,0,"PKR 25,200",labour_wages\SATTI_PLAZA_Labour_Jan2013.xlsx,labour_wages,SATTI_PLAZA
4,Sajid Qureshi,Welder,16,1100.0,17600.0,0,17600,labour_wages\SATTI_PLAZA_Labour_Jan2013.xlsx,labour_wages,SATTI_PLAZA
,,,,,,,Sub-total,labour_wages\SATTI_PLAZA_Labour_Jan2013.xlsx,labour_wages,SATTI_PLAZA
5,Javed Mirza,Security Guard,28/-,700.0,19600.0,0,19600,labour_wages\SATTI_PLAZA_Labour_Jan2013.xlsx,labour_wages,SATTI_PLAZA
6,Usman Mirza,Mason,18,900.0,16200.0,0,16200,labour_wages\SATTI_PLAZA_Labour_Jan2013.xlsx,labour_wages,SATTI_PLAZA
7,Bilal Qureshi,Site Engineer,18,2500.0,45000.0,13500,31500,labour_wages\SATTI_PLAZA_Labour_Jan2013.xlsx,labour_wages,SATTI_PLAZA
8,Kamran Mirza,Helper,21,600.0,12600.0,0,12600,labour_wages\SATTI_PLAZA_Labour_Jan2013.xlsx,labour_wages,SATTI_PLAZA
9,Tariq Sheikh,Electrician,26/-,,31200.0,0,31200,labour_wages\SATTI_PLAZA_Labour_Jan2013.xlsx,labour_wages,SATTI_PLAZA
10,Hamid Raza,Site Engineer,25,2500.0,62500.0,31250,31250,labour_wages\SATTI_PLAZA_Labour_Jan2013.xlsx,labour_wages,SATTI_PLAZA
,,,,,,,,labour_wages\SATTI_PLAZA_Labour_Jan2013.xlsx,labour_wages,SATTI_PLAZA
Prepared by:,,,Checked by:,,,Approved:,,labour_wages\SATTI_PLAZA_Labour_Jan2013.xlsx,labour_wages,SATTI_PLAZA
