row_no,name,trade,qty,rate,amount,advance,total,_source_file,_folder,_project
Month: July 2013,,,,,,,,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
1,Tariq Chaudhry,Electrician,18,1200.0,21600.0,0.0,21600.0,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
2,Rizwan Butt,Mason,27,900.0,24300.0,12150.0,12150.0,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
3,Farooq Malik,Plumber,19,1100.0,20900.0,10450.0,10450.0,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
4,Tariq Khan,Helper,22,600.0,13200.0,0.0,13200.0,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
5,Kamran Ali,Painter,,850.0,22950.0,0.0,,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
6,Asif Raza,Site Engineer,16,2500.0,40000.0,0.0,40000.0,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
7,Bilal Malik,Painter,23,850.0,19550.0,0.0,19550.0,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
8,Zahid Mirza,Helper,20,600.0,12000.0,3600.0,8400.0,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
9,Zahid Ansari,Site Engineer,17,2500.0,42500.0,21250.0,21250.0,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
10,Farooq Butt,Painter,,850.0,17850.0,5355.0,12495.0,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
11,Bilal Chaudhry,Welder,,1100.0,16500.0,0.0,,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
12,Nasir Qureshi,Plumber,28,1100.0,30800.0,9240.0,21560.0,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
13,Farooq Butt,Welder,26,1100.0,28600.0,0.0,28600.0,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
14,Rizwan Ansari,Mason,,900.0,15300.0,7650.0,7650.0,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
,,,,,,,,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
Prepared by:,,,Checked by:,,,,,labour_wages\SATTI_PLAZA_Labour_Jul2013.xlsx,labour_wages,SATTI_PLAZA
