row_no,name,trade,qty,rate,amount,advance,total,_source_file,_folder,_project
Month: October 2011,,,,,,,,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
1,Bilal Malik,Plumber,20,1100.0,22000.0,0.0,22000.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
2,Muhammad Chaudhry,Helper,14,600.0,8400.0,0.0,8400.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
3,Usman Qureshi,Welder,15,1100.0,16500.0,0.0,16500.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
4,Tariq Ansari,Carpenter,25/-,1000.0,25000.0,0.0,25000.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
5,Bilal Butt,Painter,,850.0,20400.0,0.0,20400.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
6,Ahmad Butt,Carpenter,,1000.0,28000.0,0.0,28000.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
,,,,,,,,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
7,Sajid Chaudhry,Supervisor,15,1800.0,27000.0,0.0,27000.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
8,Asif Ali,Helper,18,600.0,10800.0,0.0,10800.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
9,Ahmad Sheikh,Carpenter,25,1000.0,25000.0,0.0,25000.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
10,Arif Mirza,Mason,16,900.0,14400.0,4320.0,10080.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
11,Usman Sheikh,Plumber,TBD,1100.0,27500.0,0.0,27500.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
12,Zahid Raza,Site Engineer,16,2500.0,40000.0,0.0,40000.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
13,Bilal Khan,Security Guard,22,700.0,15400.0,0.0,15400.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
14,Muhammad Khan,Supervisor,28,,50400.0,0.0,50400.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
15,Tariq Ali,Carpenter,PKR 14,1000.0,14000.0,4200.0,9800.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
16,Arif Khan,Mason,18,900.0,16200.0,0.0,16200.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
17,Muhammad Malik,Electrician,25,1200.0,30000.0,0.0,30000.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
18,Arif Qureshi,Welder,20,1100.0,22000.0,,22000.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
19,Farooq Ansari,Electrician,24,1200.0,,0.0,28800.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
20,Rizwan Mirza,Electrician,20/-,1200.0,24000.0,7200.0,16800.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
21,Kamran Qureshi,Supervisor,20,1800.0,36000.0,10800.0,25200.0,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
,,,,,,,,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
Prepared by:,,,Checked by:,,,,,labour_wages\SATTI_PLAZA_Labour_Oct2011.xlsx,labour_wages,SATTI_PLAZA
